filename,experiment_id,arm,dataset,backbone,optimizer_seed,pair_seed,config_path,acc_certain,acc_hybrid,bytes,sha256,in_github_release,release_asset,role
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B4_syncnorm_seed1337.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm,B4_syncnorm,ucf101,r50_full,1337,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm.json,75.91858313507798,74.54401268834259,9830086,cc4317c2029c890ec65c52de8c75b1f286b9b632ac81283f9f9278db0f838a2e,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B4_syncnorm_seed42.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm,B4_syncnorm,ucf101,r50_full,42,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm.json,75.75997885276236,74.67618292360561,9830052,97c12e4bb4abbdabd5afe330c5b17ddca032ce6d4c0a41b1f064393d9dbb6aca,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_r50_full_ptfz_official1_noval_fc_oc512_B4_syncnorm_seed7.pt,ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm,B4_syncnorm,ucf101,r50_full,7,0,configs/resnet18/ucf101_r50_full_ptfz_official1_noval_fc_oc512__B4_syncnorm.json,75.99788527623579,74.46471054718478,9830035,9fdcdf32efdf9f33906faf1ee03542cae2375b07eafa2faf6c19bd58280602b4,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_resnet_pt_official1_B0_linear_seed1337.pt,ucf101_resnet_pt_official1__B0_linear,B0_linear,ucf101,resnet,1337,0,configs/fine_tuning/ucf101_resnet_pt_official1__B0_linear.json,67.35395189003437,62.12001057361882,14497917,6d2e81485e8ccc696caa31e083e421f380fac5118916864bfaba658f258ac2eb,True,synccaps-checkpoints-fine_tuning.tar,supporting
synccaps_ucf101_resnet_pt_official1_B0_linear_seed42.pt,ucf101_resnet_pt_official1__B0_linear,B0_linear,ucf101,resnet,42,0,configs/fine_tuning/ucf101_resnet_pt_official1__B0_linear.json,66.56093047845624,62.09357652656622,14497649,6a3cbd14322d73d2627d685f7813a165497b177feff3bd05d542e5a7b3b26b64,True,synccaps-checkpoints-fine_tuning.tar,supporting
synccaps_ucf101_resnet_pt_official1_B0_linear_seed7.pt,ucf101_resnet_pt_official1__B0_linear,B0_linear,ucf101,resnet,7,0,configs/fine_tuning/ucf101_resnet_pt_official1__B0_linear.json,68.22627544277029,63.33597673803859,14497547,57516c88a2eadfbb7a4c49b5a1c25d04efc146d37ede585016c1236eee221038,True,synccaps-checkpoints-fine_tuning.tar,supporting
synccaps_ucf101_resnet_pt_official1_B4_syncnorm_seed1337.pt,ucf101_resnet_pt_official1__B4_syncnorm,B4_syncnorm,ucf101,resnet,1337,0,configs/fine_tuning/ucf101_resnet_pt_official1__B4_syncnorm.json,68.41131377213851,67.45968807824478,14436819,b5892183ff90e1ba1c627b7f220e67e4d1fb309e8cdddfd98e78686b8bad4c03,True,synccaps-checkpoints-fine_tuning.tar,supporting
synccaps_ucf101_resnet_pt_official1_B4_syncnorm_seed42.pt,ucf101_resnet_pt_official1__B4_syncnorm,B4_syncnorm,ucf101,resnet,42,0,configs/fine_tuning/ucf101_resnet_pt_official1__B4_syncnorm.json,68.17340734866508,67.19534760771874,14436609,fedc85430557f4171f361ab11697dd7c7aa91b9191058c6626d52d2241b3d9ab,True,synccaps-checkpoints-fine_tuning.tar,supporting
synccaps_ucf101_resnet_pt_official1_B4_syncnorm_seed7.pt,ucf101_resnet_pt_official1__B4_syncnorm,B4_syncnorm,ucf101,resnet,7,0,configs/fine_tuning/ucf101_resnet_pt_official1__B4_syncnorm.json,68.17340734866508,68.12053925455987,14436440,457eaec0a3eb62f60e022dd455668ce319473f0877ae9a1a162ac3a3dbf13c5b,True,synccaps-checkpoints-fine_tuning.tar,supporting
synccaps_ucf101_resnet_pt_official1_noval_B0_linear_seed1337.pt,ucf101_resnet_pt_official1_noval__B0_linear,B0_linear,ucf101,resnet,1337,0,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B0_linear.json,69.17790113666402,63.732487443827644,14498593,ec2a1e072a78e3182cb9f6a10477795d2529034229032e492b330a1fa7e16ef6,True,synccaps-checkpoints-fine_tuning.tar,headline
synccaps_ucf101_resnet_pt_official1_noval_B0_linear_seed42.pt,ucf101_resnet_pt_official1_noval__B0_linear,B0_linear,ucf101,resnet,42,0,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B0_linear.json,67.72402854877082,63.83822363203806,14498325,71616609537abe18eef96d5c87385d94317ae01d6aaf0719ee101a4fbae6ba9c,True,synccaps-checkpoints-fine_tuning.tar,headline
synccaps_ucf101_resnet_pt_official1_noval_B0_linear_seed7.pt,ucf101_resnet_pt_official1_noval__B0_linear,B0_linear,ucf101,resnet,7,0,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B0_linear.json,69.09859899550621,64.41977266719535,14498223,8e1b00b0107af8839b31e0cece86ff11fdfb8019f85234f2463fece50efe37ac,True,synccaps-checkpoints-fine_tuning.tar,headline
synccaps_ucf101_resnet_pt_official1_noval_B4_syncnorm_seed1337.pt,ucf101_resnet_pt_official1_noval__B4_syncnorm,B4_syncnorm,ucf101,resnet,1337,0,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B4_syncnorm.json,69.25720327782183,68.88712661908538,14437513,b94184bdcdfc45c14ee658e404619f5f32e5182c52fccd9c160f016b21757f81,True,synccaps-checkpoints-fine_tuning.tar,headline
synccaps_ucf101_resnet_pt_official1_noval_B4_syncnorm_seed42.pt,ucf101_resnet_pt_official1_noval__B4_syncnorm,B4_syncnorm,ucf101,resnet,42,0,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B4_syncnorm.json,69.83875231297911,68.3320116309807,14437303,00d1b59f31a2e5a75a73ea699795c3aa817e8e8fddcd2137091de916307205af,True,synccaps-checkpoints-fine_tuning.tar,headline
synccaps_ucf101_resnet_pt_official1_noval_B4_syncnorm_seed7.pt,ucf101_resnet_pt_official1_noval__B4_syncnorm,B4_syncnorm,ucf101,resnet,7,0,configs/fine_tuning/ucf101_resnet_pt_official1_noval__B4_syncnorm.json,70.20882897171556,68.62278614855934,14437198,55573e2789251c03ba074954173c346e09bafad1353f84e51fa4d747d92176da,True,synccaps-checkpoints-fine_tuning.tar,headline
synccaps_ucf101_resnet_ptfz_official1_fc_B0_linear_seed1337.pt,ucf101_resnet_ptfz_official1_fc__B0_linear,B0_linear,ucf101,resnet,1337,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B0_linear.json,64.86915146708961,59.529473962463655,3315653,82245bb943956e248ca8153a6d70e70ad965e66c0a9a84411ada43f51a6768d7,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_resnet_ptfz_official1_fc_B0_linear_seed42.pt,ucf101_resnet_ptfz_official1_fc__B0_linear,B0_linear,ucf101,resnet,42,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B0_linear.json,64.63124504361618,58.97435897435898,3315565,5801a9a8d2d891a0527b0ba80dc5d829d238e775bc55df541b2f6bec5b1411ed,True,synccaps-checkpoints-resnet18.tar,supporting
synccaps_ucf101_resnet_ptfz_official1_fc_B0_linear_seed7.pt,ucf101_resnet_ptfz_official1_fc__B0_linear,B0_linear,ucf101,resnet,7,0,configs/resnet18/ucf101_resnet_ptfz_official1_fc__B0_linear.json,64.26116838487972,59.027227068464185,3315553,11628cf66a86330df5e0ee2105ffd0d12d2f815c2e2d199eef5f469c394a6db5,True,synccaps-checkpoints-resnet18.tar,supporting
